"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","place an order","1","0","using deafult payement option","0"
"0","","0","Add to cart","1","0","Add one quantity from store -examples","0"
"0","","0","Add to cart","1","0","Add one quantity from store","0"
